Detector 17
Energy Min (GeV): 0	Energy Max (GeV): 1e-05
Bin number: 100
Bin width: 1e-07

Bin number 	 	 Bin center 	 	 Bin Content
1	 	5e-08	 	2.13591e+11
2	 	1.5e-07	 	3.28601e+10
3	 	2.5e-07	 	4.10752e+10
4	 	3.5e-07	 	1.64301e+10
5	 	4.5e-07	 	0
6	 	5.5e-07	 	2.46451e+10
7	 	6.5e-07	 	8.21504e+09
8	 	7.5e-07	 	8.21504e+09
9	 	8.5e-07	 	8.21504e+09
10	 	9.5e-07	 	0
11	 	1.05e-06	 	0
12	 	1.15e-06	 	0
13	 	1.25e-06	 	0
14	 	1.35e-06	 	2.46451e+10
15	 	1.45e-06	 	0
16	 	1.55e-06	 	0
17	 	1.65e-06	 	0
18	 	1.75e-06	 	0
19	 	1.85e-06	 	0
20	 	1.95e-06	 	8.21504e+09
21	 	2.05e-06	 	0
22	 	2.15e-06	 	0
23	 	2.25e-06	 	0
24	 	2.35e-06	 	0
25	 	2.45e-06	 	0
26	 	2.55e-06	 	8.21504e+09
27	 	2.65e-06	 	0
28	 	2.75e-06	 	8.21504e+09
29	 	2.85e-06	 	8.21504e+09
30	 	2.95e-06	 	8.21504e+09
31	 	3.05e-06	 	0
32	 	3.15e-06	 	0
33	 	3.25e-06	 	8.21504e+09
34	 	3.35e-06	 	0
35	 	3.45e-06	 	0
36	 	3.55e-06	 	0
37	 	3.65e-06	 	0
38	 	3.75e-06	 	0
39	 	3.85e-06	 	0
40	 	3.95e-06	 	0
41	 	4.05e-06	 	0
42	 	4.15e-06	 	8.21504e+09
43	 	4.25e-06	 	0
44	 	4.35e-06	 	8.21504e+09
45	 	4.45e-06	 	0
46	 	4.55e-06	 	0
47	 	4.65e-06	 	0
48	 	4.75e-06	 	8.21504e+09
49	 	4.85e-06	 	0
50	 	4.95e-06	 	0
51	 	5.05e-06	 	0
52	 	5.15e-06	 	0
53	 	5.25e-06	 	0
54	 	5.35e-06	 	8.21504e+09
55	 	5.45e-06	 	0
56	 	5.55e-06	 	8.21504e+09
57	 	5.65e-06	 	0
58	 	5.75e-06	 	1.64301e+10
59	 	5.85e-06	 	0
60	 	5.95e-06	 	8.21504e+09
61	 	6.05e-06	 	0
62	 	6.15e-06	 	0
63	 	6.25e-06	 	0
64	 	6.35e-06	 	0
65	 	6.45e-06	 	0
66	 	6.55e-06	 	0
67	 	6.65e-06	 	0
68	 	6.75e-06	 	0
69	 	6.85e-06	 	0
70	 	6.95e-06	 	0
71	 	7.05e-06	 	0
72	 	7.15e-06	 	0
73	 	7.25e-06	 	0
74	 	7.35e-06	 	0
75	 	7.45e-06	 	0
76	 	7.55e-06	 	0
77	 	7.65e-06	 	0
78	 	7.75e-06	 	0
79	 	7.85e-06	 	1.64301e+10
80	 	7.95e-06	 	0
81	 	8.05e-06	 	0
82	 	8.15e-06	 	0
83	 	8.25e-06	 	8.21504e+09
84	 	8.35e-06	 	0
85	 	8.45e-06	 	0
86	 	8.55e-06	 	0
87	 	8.65e-06	 	0
88	 	8.75e-06	 	0
89	 	8.85e-06	 	0
90	 	8.95e-06	 	0
91	 	9.05e-06	 	0
92	 	9.15e-06	 	0
93	 	9.25e-06	 	0
94	 	9.35e-06	 	0
95	 	9.45e-06	 	0
96	 	9.55e-06	 	0
97	 	9.65e-06	 	0
98	 	9.75e-06	 	0
99	 	9.85e-06	 	0
100	 	9.95e-06	 	0
