Detector 17
Energy Min (GeV): 0.02	Energy Max (GeV): 0.1
Bin number: 100
Bin width: 0.0008

Bin number 	 	 Bin center 	 	 Bin Content
1	 	0.0204	 	8.21504e+09
2	 	0.0212	 	0
3	 	0.022	 	1.64301e+10
4	 	0.0228	 	2.46451e+10
5	 	0.0236	 	0
6	 	0.0244	 	0
7	 	0.0252	 	0
8	 	0.026	 	8.21504e+09
9	 	0.0268	 	0
10	 	0.0276	 	0
11	 	0.0284	 	0
12	 	0.0292	 	0
13	 	0.03	 	1.64301e+10
14	 	0.0308	 	8.21504e+09
15	 	0.0316	 	0
16	 	0.0324	 	2.46451e+10
17	 	0.0332	 	0
18	 	0.034	 	0
19	 	0.0348	 	8.21504e+09
20	 	0.0356	 	0
21	 	0.0364	 	8.21504e+09
22	 	0.0372	 	2.46451e+10
23	 	0.038	 	1.64301e+10
24	 	0.0388	 	8.21504e+09
25	 	0.0396	 	4.10752e+10
26	 	0.0404	 	8.21504e+09
27	 	0.0412	 	8.21504e+09
28	 	0.042	 	0
29	 	0.0428	 	8.21504e+09
30	 	0.0436	 	8.21504e+09
31	 	0.0444	 	2.46451e+10
32	 	0.0452	 	1.64301e+10
33	 	0.046	 	8.21504e+09
34	 	0.0468	 	0
35	 	0.0476	 	0
36	 	0.0484	 	8.21504e+09
37	 	0.0492	 	8.21504e+09
38	 	0.05	 	8.21504e+09
39	 	0.0508	 	8.21504e+09
40	 	0.0516	 	0
41	 	0.0524	 	8.21504e+09
42	 	0.0532	 	0
43	 	0.054	 	0
44	 	0.0548	 	8.21504e+09
45	 	0.0556	 	1.64301e+10
46	 	0.0564	 	2.46451e+10
47	 	0.0572	 	8.21504e+09
48	 	0.058	 	8.21504e+09
49	 	0.0588	 	8.21504e+09
50	 	0.0596	 	8.21504e+09
51	 	0.0604	 	8.21504e+09
52	 	0.0612	 	8.21504e+09
53	 	0.062	 	8.21504e+09
54	 	0.0628	 	3.28601e+10
55	 	0.0636	 	8.21504e+09
56	 	0.0644	 	8.21504e+09
57	 	0.0652	 	1.64301e+10
58	 	0.066	 	1.64301e+10
59	 	0.0668	 	0
60	 	0.0676	 	8.21504e+09
61	 	0.0684	 	8.21504e+09
62	 	0.0692	 	8.21504e+09
63	 	0.07	 	4.92902e+10
64	 	0.0708	 	8.21504e+09
65	 	0.0716	 	2.46451e+10
66	 	0.0724	 	1.64301e+10
67	 	0.0732	 	0
68	 	0.074	 	8.21504e+09
69	 	0.0748	 	1.64301e+10
70	 	0.0756	 	1.64301e+10
71	 	0.0764	 	0
72	 	0.0772	 	2.46451e+10
73	 	0.078	 	8.21504e+09
74	 	0.0788	 	1.64301e+10
75	 	0.0796	 	1.64301e+10
76	 	0.0804	 	5.75053e+10
77	 	0.0812	 	0
78	 	0.082	 	0
79	 	0.0828	 	1.64301e+10
80	 	0.0836	 	2.46451e+10
81	 	0.0844	 	0
82	 	0.0852	 	0
83	 	0.086	 	1.64301e+10
84	 	0.0868	 	0
85	 	0.0876	 	1.64301e+10
86	 	0.0884	 	8.21504e+09
87	 	0.0892	 	8.21504e+09
88	 	0.09	 	0
89	 	0.0908	 	8.21504e+09
90	 	0.0916	 	0
91	 	0.0924	 	0
92	 	0.0932	 	0
93	 	0.094	 	1.64301e+10
94	 	0.0948	 	0
95	 	0.0956	 	0
96	 	0.0964	 	1.64301e+10
97	 	0.0972	 	8.21504e+09
98	 	0.098	 	0
99	 	0.0988	 	2.46451e+10
100	 	0.0996	 	0
