Detector 17
Energy Min (GeV): 0.1	Energy Max (GeV): 11
Bin number: 200
Bin width: 0.0545

Bin number 	 	 Bin center 	 	 Bin Content
1	 	0.12725	 	5.09332e+11
2	 	0.18175	 	2.05376e+11
3	 	0.23625	 	1.15011e+11
4	 	0.29075	 	3.28601e+10
5	 	0.34525	 	1.64301e+10
6	 	0.39975	 	0
7	 	0.45425	 	0
8	 	0.50875	 	0
9	 	0.56325	 	0
10	 	0.61775	 	0
11	 	0.67225	 	0
12	 	0.72675	 	0
13	 	0.78125	 	0
14	 	0.83575	 	0
15	 	0.89025	 	0
16	 	0.94475	 	0
17	 	0.99925	 	0
18	 	1.05375	 	0
19	 	1.10825	 	0
20	 	1.16275	 	0
21	 	1.21725	 	0
22	 	1.27175	 	0
23	 	1.32625	 	0
24	 	1.38075	 	0
25	 	1.43525	 	0
26	 	1.48975	 	0
27	 	1.54425	 	0
28	 	1.59875	 	0
29	 	1.65325	 	0
30	 	1.70775	 	0
31	 	1.76225	 	0
32	 	1.81675	 	0
33	 	1.87125	 	0
34	 	1.92575	 	0
35	 	1.98025	 	0
36	 	2.03475	 	0
37	 	2.08925	 	0
38	 	2.14375	 	0
39	 	2.19825	 	0
40	 	2.25275	 	0
41	 	2.30725	 	0
42	 	2.36175	 	0
43	 	2.41625	 	0
44	 	2.47075	 	0
45	 	2.52525	 	0
46	 	2.57975	 	0
47	 	2.63425	 	0
48	 	2.68875	 	0
49	 	2.74325	 	0
50	 	2.79775	 	0
51	 	2.85225	 	0
52	 	2.90675	 	0
53	 	2.96125	 	0
54	 	3.01575	 	0
55	 	3.07025	 	0
56	 	3.12475	 	0
57	 	3.17925	 	0
58	 	3.23375	 	0
59	 	3.28825	 	0
60	 	3.34275	 	0
61	 	3.39725	 	0
62	 	3.45175	 	0
63	 	3.50625	 	0
64	 	3.56075	 	0
65	 	3.61525	 	0
66	 	3.66975	 	0
67	 	3.72425	 	0
68	 	3.77875	 	0
69	 	3.83325	 	0
70	 	3.88775	 	0
71	 	3.94225	 	0
72	 	3.99675	 	0
73	 	4.05125	 	0
74	 	4.10575	 	0
75	 	4.16025	 	0
76	 	4.21475	 	0
77	 	4.26925	 	0
78	 	4.32375	 	0
79	 	4.37825	 	0
80	 	4.43275	 	0
81	 	4.48725	 	0
82	 	4.54175	 	0
83	 	4.59625	 	0
84	 	4.65075	 	0
85	 	4.70525	 	0
86	 	4.75975	 	0
87	 	4.81425	 	0
88	 	4.86875	 	0
89	 	4.92325	 	0
90	 	4.97775	 	0
91	 	5.03225	 	0
92	 	5.08675	 	0
93	 	5.14125	 	0
94	 	5.19575	 	0
95	 	5.25025	 	0
96	 	5.30475	 	0
97	 	5.35925	 	0
98	 	5.41375	 	0
99	 	5.46825	 	0
100	 	5.52275	 	0
101	 	5.57725	 	0
102	 	5.63175	 	0
103	 	5.68625	 	0
104	 	5.74075	 	0
105	 	5.79525	 	0
106	 	5.84975	 	0
107	 	5.90425	 	0
108	 	5.95875	 	0
109	 	6.01325	 	0
110	 	6.06775	 	0
111	 	6.12225	 	0
112	 	6.17675	 	0
113	 	6.23125	 	0
114	 	6.28575	 	0
115	 	6.34025	 	0
116	 	6.39475	 	0
117	 	6.44925	 	0
118	 	6.50375	 	0
119	 	6.55825	 	0
120	 	6.61275	 	0
121	 	6.66725	 	0
122	 	6.72175	 	0
123	 	6.77625	 	0
124	 	6.83075	 	0
125	 	6.88525	 	0
126	 	6.93975	 	0
127	 	6.99425	 	0
128	 	7.04875	 	0
129	 	7.10325	 	0
130	 	7.15775	 	0
131	 	7.21225	 	0
132	 	7.26675	 	0
133	 	7.32125	 	0
134	 	7.37575	 	0
135	 	7.43025	 	0
136	 	7.48475	 	0
137	 	7.53925	 	0
138	 	7.59375	 	0
139	 	7.64825	 	0
140	 	7.70275	 	0
141	 	7.75725	 	0
142	 	7.81175	 	0
143	 	7.86625	 	0
144	 	7.92075	 	0
145	 	7.97525	 	0
146	 	8.02975	 	0
147	 	8.08425	 	0
148	 	8.13875	 	0
149	 	8.19325	 	0
150	 	8.24775	 	0
151	 	8.30225	 	0
152	 	8.35675	 	0
153	 	8.41125	 	0
154	 	8.46575	 	0
155	 	8.52025	 	0
156	 	8.57475	 	0
157	 	8.62925	 	0
158	 	8.68375	 	0
159	 	8.73825	 	0
160	 	8.79275	 	0
161	 	8.84725	 	0
162	 	8.90175	 	0
163	 	8.95625	 	0
164	 	9.01075	 	0
165	 	9.06525	 	0
166	 	9.11975	 	0
167	 	9.17425	 	0
168	 	9.22875	 	0
169	 	9.28325	 	0
170	 	9.33775	 	0
171	 	9.39225	 	0
172	 	9.44675	 	0
173	 	9.50125	 	0
174	 	9.55575	 	0
175	 	9.61025	 	0
176	 	9.66475	 	0
177	 	9.71925	 	0
178	 	9.77375	 	0
179	 	9.82825	 	0
180	 	9.88275	 	0
181	 	9.93725	 	0
182	 	9.99175	 	0
183	 	10.0463	 	0
184	 	10.1007	 	0
185	 	10.1553	 	0
186	 	10.2097	 	0
187	 	10.2643	 	0
188	 	10.3187	 	0
189	 	10.3733	 	0
190	 	10.4277	 	0
191	 	10.4823	 	0
192	 	10.5367	 	0
193	 	10.5913	 	0
194	 	10.6457	 	0
195	 	10.7003	 	0
196	 	10.7547	 	0
197	 	10.8093	 	0
198	 	10.8637	 	0
199	 	10.9183	 	0
200	 	10.9727	 	0
